title,url,description,rating,genre,duration
Aliens,https://www.imdb.com/title/tt0090605/,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",8.4,"Action, Adventure, Sci-Fi",137
Inglourious Basterds,https://www.imdb.com/title/tt0361748/,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner&apos;s vengeful plans for the same.",8.4,"Adventure, Drama, War",153
The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",8.4,"Action, Drama, Thriller",164
Coco,https://www.imdb.com/title/tt2380307/,"Aspiring musician Miguel, confronted with his family&apos;s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",8.4,"Animation, Adventure, Drama",105
Amadeus,https://www.imdb.com/title/tt0086879/,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart&apos;s talent and claimed to have murdered him.",8.4,"Biography, Drama, Music",160
Toy Story,https://www.imdb.com/title/tt0114709/,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy&apos;s bedroom.,8.3,"Animation, Adventure, Comedy",81
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",8.3,"Comedy, War",95
Oldeuboi,https://www.imdb.com/title/tt0364569/,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",8.3,"Action, Drama, Mystery",120
Avengers: Endgame,https://www.imdb.com/title/tt4154796/,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe.",8.4,"Action, Adventure, Drama",181
American Beauty,https://www.imdb.com/title/tt0169547/,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter&apos;s best friend.,8.3,Drama,122
Good Will Hunting,https://www.imdb.com/title/tt0119217/,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",8.3,"Drama, Romance",126
Das Boot,https://www.imdb.com/title/tt0082096/,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,8.4,"Drama, War",149
Braveheart,https://www.imdb.com/title/tt0112573/,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,8.3,"Biography, Drama, War",178
Mononoke-hime,https://www.imdb.com/title/tt0119698/,"On a journey to find the cure for a Tatarigami&apos;s curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",8.3,"Animation, Adventure, Fantasy",133
Kimi no na wa.,https://www.imdb.com/title/tt5311514/,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",8.4,"Animation, Drama, Fantasy",106
Tengoku to jigoku,https://www.imdb.com/title/tt0057565/,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur&apos;s son is kidnapped by mistake and held for ransom.,8.4,"Crime, Drama, Mystery",143
Joker,https://www.imdb.com/title/tt7286456/,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",8.4,"Crime, Drama, Thriller",122
3 Idiots,https://www.imdb.com/title/tt1187043/,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them &quot;idiots&quot;.",8.4,"Comedy, Drama",170
Once Upon a Time in America,https://www.imdb.com/title/tt0087843/,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",8.3,"Crime, Drama",229
Singin&apos; in the Rain,https://www.imdb.com/title/tt0045152/,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,8.3,"Comedy, Musical, Romance",103
Capharnaüm,https://www.imdb.com/title/tt8267604/,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",8.4,Drama,126
Idi i smotri,https://www.imdb.com/title/tt0091251/,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",8.3,"Drama, Thriller, War",142
Requiem for a Dream,https://www.imdb.com/title/tt0180093/,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,8.3,Drama,102
Toy Story 3,https://www.imdb.com/title/tt0435761/,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it&apos;s up to Woody to convince the other toys that they weren&apos;t abandoned and to return home.",8.3,"Animation, Adventure, Comedy",103
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",8.3,"Action, Adventure, Fantasy",131
Jagten,https://www.imdb.com/title/tt2106476/,"A teacher lives a lonely life, all the while struggling over his son&apos;s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent li...",8.3,Drama,115
Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",8.3,"Drama, Romance, Sci-Fi",108
Ikiru,https://www.imdb.com/title/tt0044741/,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,8.3,Drama,143
2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",8.3,"Adventure, Sci-Fi",149
Reservoir Dogs,https://www.imdb.com/title/tt0105236/,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",8.3,"Crime, Thriller",99
Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",8.3,"Adventure, Biography, Drama",227
The Apartment,https://www.imdb.com/title/tt0053604/,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",8.3,"Comedy, Drama, Romance",125
Incendies,https://www.imdb.com/title/tt1255953/,Twins journey to the Middle East to discover their family history and fulfill their mother&apos;s last wishes.,8.3,"Drama, Mystery, War",131
Scarface,https://www.imdb.com/title/tt0086250/,"Miami in the 1980s: a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Florida, and is eventually undone by his own drug addiction.",8.3,"Crime, Drama",170
North by Northwest,https://www.imdb.com/title/tt0053125/,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",8.3,"Action, Adventure, Mystery",136
Double Indemnity,https://www.imdb.com/title/tt0036775/,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",8.3,"Crime, Drama, Film-Noir",107
Citizen Kane,https://www.imdb.com/title/tt0033467/,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: &apos;Rosebud.&apos;",8.3,"Drama, Mystery",119
M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",8.3,"Crime, Mystery, Thriller",99
Heat,https://www.imdb.com/title/tt0113277/,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,8.3,"Action, Crime, Drama",170
Vertigo,https://www.imdb.com/title/tt0052357/,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",8.3,"Mystery, Romance, Thriller",128
Full Metal Jacket,https://www.imdb.com/title/tt0093058/,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,8.2,"Drama, War",116
Up,https://www.imdb.com/title/tt1049413/,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",8.3,"Animation, Adventure, Comedy",96
Oppenheimer,https://www.imdb.com/title/tt15398776/,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",8.3,"Biography, Drama, History",180
Le fabuleux destin d&apos;Amélie Poulain,https://www.imdb.com/title/tt0211915/,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",8.3,"Comedy, Romance",122
A Clockwork Orange,https://www.imdb.com/title/tt0066921/,Alex DeLarge and his droogs barbarize a decaying near-future.,8.2,"Crime, Sci-Fi",136
To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,8.3,"Crime, Drama",129
Jodaeiye Nader az Simin,https://www.imdb.com/title/tt1832382/,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer&apos;s disease.,8.3,Drama,123
The Sting,https://www.imdb.com/title/tt0070735/,Two grifters team up to pull off the ultimate con.,8.3,"Comedy, Crime, Drama",129
Die Hard,https://www.imdb.com/title/tt0095016/,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,8.2,"Action, Thriller",132
Taare Zameen Par,https://www.imdb.com/title/tt0986264/,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,8.3,"Drama, Family",162
Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",8.2,"Action, Adventure",127
Metropolis,https://www.imdb.com/title/tt0017136/,"In a futuristic city sharply divided between the working class and the city planners, the son of the city&apos;s mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",8.3,"Drama, Sci-Fi",153
Snatch,https://www.imdb.com/title/tt0208092/,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",8.2,"Comedy, Crime",102
1917,https://www.imdb.com/title/tt8579674/,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",8.2,"Action, Drama, War",119
L.A. Confidential,https://www.imdb.com/title/tt0119488/,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",8.2,"Crime, Drama, Mystery",138
Ladri di biciclette,https://www.imdb.com/title/tt0040522/,"In post-war Italy, a working-class man&apos;s bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",8.3,Drama,89
Der Untergang,https://www.imdb.com/title/tt0363163/,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator&apos;s final days in his Berlin bunker at the end of WWII.",8.2,"Biography, Drama, History",156
Taxi Driver,https://www.imdb.com/title/tt0075314/,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",8.2,"Crime, Drama",114
Hamilton,https://www.imdb.com/title/tt8503618/,"The real life of one of America&apos;s foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",8.3,"Biography, Drama, History",160
Dangal,https://www.imdb.com/title/tt5074352/,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",8.3,"Action, Biography, Drama",161
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,"Biography, Comedy, Crime",180
Batman Begins,https://www.imdb.com/title/tt0372784/,"After witnessing his parents&apos; death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",8.2,"Action, Drama",140
Per qualche dollaro in più,https://www.imdb.com/title/tt0059578/,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,8.2,"Drama, Western",132
Green Book,https://www.imdb.com/title/tt6966692/,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,8.2,"Biography, Comedy, Drama",130
Some Like It Hot,https://www.imdb.com/title/tt0053291/,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",8.2,"Comedy, Music, Romance",121
The Truman Show,https://www.imdb.com/title/tt0120382/,An insurance salesman discovers his whole life is actually a reality TV show.,8.2,"Comedy, Drama",103
Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/,"Fictionalized depiction of the 1947 Judges&apos; Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their acti...",8.3,"Drama, War",179
The Kid,https://www.imdb.com/title/tt0012349/,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",8.2,"Comedy, Drama, Family",68
The Father,https://www.imdb.com/title/tt10272386/,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",8.2,"Drama, Mystery",97
